source_id,publisher,title,url,accessed_at,source_type,licence_note
wikidata-q7186495,Wikidata contributors,Mother Temple of Africa,https://www.wikidata.org/wiki/Q7186495,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q10270271,Wikidata contributors,Maputo City Hall,https://www.wikidata.org/wiki/Q10270271,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q96912088,Wikidata contributors,Banco de Mocambique Tower 1,https://www.wikidata.org/wiki/Q96912088,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q3561,Wikidata contributors,Algiers,https://www.wikidata.org/wiki/Q3561,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q29059648,Wikidata contributors,Nation Tower,https://www.wikidata.org/wiki/Q29059648,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q579331,Wikidata contributors,Hassan Tower,https://www.wikidata.org/wiki/Q579331,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q56064359,Wikidata contributors,New Reserve Bank Tower,https://www.wikidata.org/wiki/Q56064359,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q21007716,Wikidata contributors,FINDECO House,https://www.wikidata.org/wiki/Q21007716,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q7797448,Wikidata contributors,Three Dikgosi Monument,https://www.wikidata.org/wiki/Q7797448,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q3935,Wikidata contributors,Windhoek,https://www.wikidata.org/wiki/Q3935,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q3915,Wikidata contributors,Antananarivo,https://www.wikidata.org/wiki/Q3915,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q2882647,Wikidata contributors,Bank of Mauritius Tower,https://www.wikidata.org/wiki/Q2882647,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q9188,Wikidata contributors,Empire State Building,https://www.wikidata.org/wiki/Q9188,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q47321192,Wikidata contributors,50 West 66th Street,https://www.wikidata.org/wiki/Q47321192,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q368489,Wikidata contributors,Los Angeles City Hall,https://www.wikidata.org/wiki/Q368489,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q136373608,Wikidata contributors,Eighteen Eighty Eight Building,https://www.wikidata.org/wiki/Q136373608,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q29294,Wikidata contributors,Willis Tower,https://www.wikidata.org/wiki/Q29294,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q4616395,Wikidata contributors,200 North Riverside Plaza,https://www.wikidata.org/wiki/Q4616395,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q1248619,Wikidata contributors,Reunion Tower,https://www.wikidata.org/wiki/Q1248619,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q806675,Wikidata contributors,Bank of America Plaza,https://www.wikidata.org/wiki/Q806675,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q935919,Wikidata contributors,JPMorgan Chase Tower,https://www.wikidata.org/wiki/Q935919,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q178114,Wikidata contributors,Washington Monument,https://www.wikidata.org/wiki/Q178114,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q4269513,Wikidata contributors,Healy Hall,https://www.wikidata.org/wiki/Q4269513,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q19817557,Wikidata contributors,One Thousand Museum,https://www.wikidata.org/wiki/Q19817557,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q3177225,Wikidata contributors,Westin Peachtree Plaza Hotel,https://www.wikidata.org/wiki/Q3177225,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q2746067,Wikidata contributors,191 Peachtree Tower,https://www.wikidata.org/wiki/Q2746067,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q17986468,Wikidata contributors,"Four Seasons Hotel & Private Residences, One Dalton Street",https://www.wikidata.org/wiki/Q17986468,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q216865,Wikidata contributors,Transamerica Pyramid,https://www.wikidata.org/wiki/Q216865,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q650097,Wikidata contributors,Sutro Tower,https://www.wikidata.org/wiki/Q650097,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q5317,Wikidata contributors,Space Needle,https://www.wikidata.org/wiki/Q5317,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q19864159,Wikidata contributors,888 Second Avenue,https://www.wikidata.org/wiki/Q19864159,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q1138183,Wikidata contributors,Philadelphia City Hall,https://www.wikidata.org/wiki/Q1138183,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q570717,Wikidata contributors,1818 Market Street,https://www.wikidata.org/wiki/Q570717,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q134883,Wikidata contributors,CN Tower,https://www.wikidata.org/wiki/Q134883,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q61602719,Wikidata contributors,Montreal Tower,https://www.wikidata.org/wiki/Q61602719,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q1344856,Wikidata contributors,Place Ville Marie,https://www.wikidata.org/wiki/Q1344856,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q867340,Wikidata contributors,Harbour Centre,https://www.wikidata.org/wiki/Q867340,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q1785026,Wikidata contributors,Living Shangri-La,https://www.wikidata.org/wiki/Q1785026,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q947870,Wikidata contributors,Torre Latinoamericana,https://www.wikidata.org/wiki/Q947870,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q53088,Wikidata contributors,Torre AXA México,https://www.wikidata.org/wiki/Q53088,2026-09-14,tower coordinates and height,CC0 structured data
wikidata-q1706069,Wikidata contributors,Guadalajara Cathedral,https://www.wikidata.org/wiki/Q1706069,2026-09-14,tower coordinates and height,CC0 structured data
